ConcessionariaRodoviakm,Concessionaria,kmmt,Rodovia,Longitude,Latitude
Fernão Dias.MG-BR381.497.5,Fernão Dias,497.5,MG-BR381,-44.2020605,-19.9832575
Fernão Dias.MG-BR381.497.6,Fernão Dias,497.6,MG-BR381,-44.20224181,-19.98365845
Fernão Dias.MG-BR381.497.7,Fernão Dias,497.7,MG-BR381,-44.20278594,-19.9848618
Fernão Dias.MG-BR381.497.8,Fernão Dias,497.8,MG-BR381,-44.20314856,-19.9856637
Fernão Dias.MG-BR381.497.9,Fernão Dias,497.9,MG-BR381,-44.20351128,-19.98646585
Fernão Dias.MG-BR381.498.0,Fernão Dias,498,MG-BR381,-44.20369269,-19.98686705
Fernão Dias.MG-BR381.498.1,Fernão Dias,498.1,MG-BR381,-44.20414093,-19.98774612
Fernão Dias.MG-BR381.498.2,Fernão Dias,498.2,MG-BR381,-44.20476385,-19.9888619
Fernão Dias.MG-BR381.498.3,Fernão Dias,498.3,MG-BR381,-44.20520865,-19.9896586
Fernão Dias.MG-BR381.498.4,Fernão Dias,498.4,MG-BR381,-44.20565357,-19.99045555
Fernão Dias.MG-BR381.498.5,Fernão Dias,498.5,MG-BR381,-44.2060985,-19.9912525
Fernão Dias.MG-BR381.498.6,Fernão Dias,498.6,MG-BR381,-44.20645436,-19.99188991
Fernão Dias.MG-BR381.498.7,Fernão Dias,498.7,MG-BR381,-44.20698835,-19.9928464
Fernão Dias.MG-BR381.498.8,Fernão Dias,498.8,MG-BR381,-44.20743315,-19.9936431
Fernão Dias.MG-BR381.498.9,Fernão Dias,498.9,MG-BR381,-44.20787807,-19.99444005
Fernão Dias.MG-BR381.499.0,Fernão Dias,499,MG-BR381,-44.208323,-19.995237
Fernão Dias.MG-BR381.499.1,Fernão Dias,499.1,MG-BR381,-44.20857971,-19.9957262
Fernão Dias.MG-BR381.499.2,Fernão Dias,499.2,MG-BR381,-44.20895417,-19.9964398
Fernão Dias.MG-BR381.499.3,Fernão Dias,499.3,MG-BR381,-44.20958535,-19.9976426
Fernão Dias.MG-BR381.499.4,Fernão Dias,499.4,MG-BR381,-44.21000617,-19.99844455
Fernão Dias.MG-BR381.499.5,Fernão Dias,499.5,MG-BR381,-44.210427,-19.9992465
Fernão Dias.MG-BR381.499.6,Fernão Dias,499.6,MG-BR381,-44.21084783,-20.00004845
Fernão Dias.MG-BR381.499.7,Fernão Dias,499.7,MG-BR381,-44.21126865,-20.0008504
Fernão Dias.MG-BR381.499.8,Fernão Dias,499.8,MG-BR381,-44.21152112,-20.00133152
Fernão Dias.MG-BR381.499.9,Fernão Dias,499.9,MG-BR381,-44.21211017,-20.00245405
Fernão Dias.MG-BR381.500.0,Fernão Dias,500,MG-BR381,-44.21232065,-20.00285515
Fernão Dias.MG-BR381.500.1,Fernão Dias,500.1,MG-BR381,-44.21300188,-20.00382175
Fernão Dias.MG-BR381.500.2,Fernão Dias,500.2,MG-BR381,-44.21341401,-20.00431691
Fernão Dias.MG-BR381.500.3,Fernão Dias,500.3,MG-BR381,-44.21404982,-20.0050808
Fernão Dias.MG-BR381.500.4,Fernão Dias,500.4,MG-BR381,-44.21465023,-20.00580218
Fernão Dias.MG-BR381.500.5,Fernão Dias,500.5,MG-BR381,-44.21520951,-20.00647412
Fernão Dias.MG-BR381.500.6,Fernão Dias,500.6,MG-BR381,-44.21606324,-20.00749984
Fernão Dias.MG-BR381.500.7,Fernão Dias,500.7,MG-BR381,-44.21665197,-20.00820719
Fernão Dias.MG-BR381.500.8,Fernão Dias,500.8,MG-BR381,-44.21702871,-20.00865983
Fernão Dias.MG-BR381.500.9,Fernão Dias,500.9,MG-BR381,-44.2177292,-20.00950143
Fernão Dias.MG-BR381.501.0,Fernão Dias,501,MG-BR381,-44.21812372,-20.00997544
Fernão Dias.MG-BR381.501.1,Fernão Dias,501.1,MG-BR381,-44.21891758,-20.01091986
Fernão Dias.MG-BR381.501.2,Fernão Dias,501.2,MG-BR381,-44.21929966,-20.01137176
Fernão Dias.MG-BR381.501.3,Fernão Dias,501.3,MG-BR381,-44.22018133,-20.01241452
Fernão Dias.MG-BR381.501.4,Fernão Dias,501.4,MG-BR381,-44.22076916,-20.01310976
Fernão Dias.MG-BR381.501.5,Fernão Dias,501.5,MG-BR381,-44.221357,-20.013805
Fernão Dias.MG-BR381.501.6,Fernão Dias,501.6,MG-BR381,-44.22166859,-20.01417352
Fernão Dias.MG-BR381.501.7,Fernão Dias,501.7,MG-BR381,-44.22253267,-20.01519548
Fernão Dias.MG-BR381.501.8,Fernão Dias,501.8,MG-BR381,-44.22311459,-20.01588373
Fernão Dias.MG-BR381.501.9,Fernão Dias,501.9,MG-BR381,-44.22370816,-20.01658576
Fernão Dias.MG-BR381.502.0,Fernão Dias,502,MG-BR381,-44.22400217,-20.01693348
Fernão Dias.MG-BR381.502.1,Fernão Dias,502.1,MG-BR381,-44.22463835,-20.01765682
Fernão Dias.MG-BR381.502.2,Fernão Dias,502.2,MG-BR381,-44.22515187,-20.01822056
Fernão Dias.MG-BR381.502.3,Fernão Dias,502.3,MG-BR381,-44.22573399,-20.01885962
Fernão Dias.MG-BR381.502.4,Fernão Dias,502.4,MG-BR381,-44.22629313,-20.01947344
Fernão Dias.MG-BR381.502.5,Fernão Dias,502.5,MG-BR381,-44.227149,-20.020413
